uav_id,x,y,z,bs_id,subcarrier,csi_real,csi_imag
0,0.0,0.0,100,0,63,-0.0033667320167735217,0.011191874199321423
0,0.0,0.0,100,1,0,0.0019707415891381795,0.001186366104566234
0,0.0,0.0,100,1,1,0.006786699108784484,0.006133348388303856
0,0.0,0.0,100,1,2,-0.002815057464355642,-0.0023822302069779434
0,0.0,0.0,100,1,3,-0.0010131766184221188,-0.010840266167317656
0,0.0,0.0,100,1,4,0.005932980312127679,0.006377502208163736
0,0.0,0.0,100,1,5,0.006317628396826491,0.0009779574598624838
0,0.0,0.0,100,1,6,-0.005516315918934484,-0.0025053959658378326
0,0.0,0.0,100,1,7,0.008064574812988634,-0.007230984229136503
0,0.0,0.0,100,1,8,0.005049702706415852,-0.0012005167123900168
0,0.0,0.0,100,1,9,0.00065930484141703,0.021130875261796685
0,0.0,0.0,100,1,10,0.021979572837173895,-0.003871026965601056
0,0.0,0.0,100,1,11,0.009732849336930556,0.008501922041135288
0,0.0,0.0,100,1,12,0.019757691980677745,0.02018676117708516
0,0.0,0.0,100,1,13,0.012085523096731561,0.01219384851074665
0,0.0,0.0,100,1,14,-0.02027718647175196,0.005126499261280493
0,0.0,0.0,100,1,15,0.0106935738428512,0.021592211670359074
0,0.0,0.0,100,1,16,-0.004177667880991651,-0.0035297062035576257
0,0.0,0.0,100,1,17,0.012511590832298818,-0.008969266379904525
0,0.0,0.0,100,1,18,0.006484557382116605,-0.009211993417714018
0,0.0,0.0,100,1,19,-0.014624113761604548,-0.0005971293152915498
0,0.0,0.0,100,1,20,-0.0008316050270862521,-0.009922785351568139
0,0.0,0.0,100,1,21,-0.01735864930821806,-0.004860885132509749
0,0.0,0.0,100,1,22,-0.0068288694994346165,0.0136574756129105
0,0.0,0.0,100,1,23,0.0037352670732918995,0.0016068348665601831
0,0.0,0.0,100,1,24,-0.0009448697692582204,-0.0033512423781576666
0,0.0,0.0,100,1,25,-0.009635889343676245,-0.002109110126542878
0,0.0,0.0,100,1,26,0.0018321956431514778,0.002115667944027929
0,0.0,0.0,100,1,27,0.014756439982114102,0.006909091295196839
0,0.0,0.0,100,1,28,-0.009112218325855482,-0.018190659788308333
0,0.0,0.0,100,1,29,-0.0023763541999711948,0.011823479195763275
0,0.0,0.0,100,1,30,-0.01232832580418247,0.0060889865682672495
0,0.0,0.0,100,1,31,-0.010907682645182578,0.008459803958256538
0,0.0,0.0,100,1,32,0.002699732935513086,0.0003073950129491234
0,0.0,0.0,100,1,33,0.0051582552922548024,-0.005466012389298151
0,0.0,0.0,100,1,34,-0.005450515281479652,0.004121740662259498
0,0.0,0.0,100,1,35,0.006560863570030441,-0.009730480018884031
0,0.0,0.0,100,1,36,0.015173474257816661,-0.004615420703866095
0,0.0,0.0,100,1,37,0.014672186834039251,0.002132653837227998
0,0.0,0.0,100,1,38,-0.0034480638773547664,-0.009950811812096038
0,0.0,0.0,100,1,39,-0.016051402877122256,-0.00689121380891759
0,0.0,0.0,100,1,40,0.011921908883968553,0.004927450617148274
0,0.0,0.0,100,1,41,-0.011237378782365928,0.0020615290148325765
0,0.0,0.0,100,1,42,-0.009983632924342874,0.0024556339278726013
0,0.0,0.0,100,1,43,-0.003365919488029991,-0.002965439566677945
0,0.0,0.0,100,1,44,-0.010205212431991262,-0.009486087884192083
0,0.0,0.0,100,1,45,-0.0010278735400852325,-0.006647445503670401
0,0.0,0.0,100,1,46,0.004732508403291177,0.0018190989435643706
0,0.0,0.0,100,1,47,-0.009152454564677028,-0.00852106897627889
0,0.0,0.0,100,1,48,0.013468304667518532,-0.013374081491017669
0,0.0,0.0,100,1,49,0.014056201919833984,0.008667410456486281
0,0.0,0.0,100,1,50,-0.0018702167098264134,-0.013508009907996653
0,0.0,0.0,100,1,51,-0.0030201005179732792,0.025516671007825294
0,0.0,0.0,100,1,52,0.00868181427824505,0.02483330778327609
0,0.0,0.0,100,1,53,0.005018243410301406,-0.001295125686478427
0,0.0,0.0,100,1,54,-0.0004949002762229433,-0.004158459565833396
